coreid,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,Quaternary,Binary
2016[Mn][rtl]3[ASR]3,214.4702,387.392,928.7848,1439.872,2390,6040,9124,10592,26,56,108,176,164,448,652,752,17.4922,42.8088,75.8156,106.9104,2.4025,30.752,31.62,66.588,625,1150,1200,2100,1,6,8,16,36,84,144,216,1.9321,6.1438,8.5624,14.6784,0,-10.54,-8,-18.16,0,104,152,316,0,0,0,0,0,22,24,60,0,3.92,4.96,11.68,91.2838,176.001,261.8652,273.572,397,768,1020,884,13,26,38,42,64,150,190,168,5.7333,12.7666,17.2678,16.611,10.9696,11.016,23.36373333,18.73866667,59,60,107.3333333,82.66666667,1,1.333333333,2.666666667,2.333333333,2,6,8,7.333333333,0.542766667,0.759733333,1.3,1.126966667,36.98,95.67333333,136.635076,129.9617427,0,0.92,1.48,1.91,0,2,6,7,0,0,0,0,0,-2,-1.333333333,-2.333333333,0,-0.04,0.213333333,0.193333333,0,-6.6,-4.671406667,-7.371406667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Mn][tbo]3[ASR]1,145.455,245.256,615.8416,635.296,2484,5668,6624,7136,16,36,64,80,100,244,320,384,12.4592,30.7332,45.7408,55.4128,2.4025,26.226,15.81,37.138,625,1225,600,1400,1,5,4,8,25,45,60,100,1.9321,5.4349,4.2812,8.34,0,-9.17,-4,-11.56,0,76,76,144,0,0,0,0,0,16,8,20,0,3.04,2.48,5.12,144.0441,255.969,399.6456,462.213,711,1260,1896,1944,18,36,54,66,90,216,294,306,8.9442,19.1268,27.591,31.0002,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2016[Nd][pcu]3[ASR]1,209.6274,395.6088,1595.6708,1173.963,8328,17760,22736,18360,24,68,168,158,296,1072,1424,1224,18.379,64.5176,112.5298,110.1194,1.2996,33.2652,15.8346,42.864,3600,4080,5400,5280,1,9,6,13,81,216,225,315,3.0276,11.571,9.7266,17.0694,0,-18.92,-7.05,-22.78,0,472,270,692,0,0,0,0,0,57,29,82,0,9.01,4.85,12.81,190.0944,394.026,635.1604,799.977,840,1776,2704,3108,28,60,96,126,156,396,592,702,12.7132,30.3996,46.576,56.4206,10.64891111,12.16633333,18.91657778,19.42533333,57.77777778,66.66666667,103.1111111,106.6666667,1,1.444444444,2,2.444444444,2.777777778,5.666666667,7.111111111,12.66666667,0.546233333,0.818766667,1.115177778,1.4014,50.22333333,101.5744444,125.18,206.6644444,0,0.296666667,0.692222222,1.384444444,0,0.666666667,1.555555556,3.111111111,0,0,0,0,0,-0.666666667,-1.555555556,-3.111111111,0,-0.013333333,-0.031111111,-0.062222222,0,-2,-4.666666667,-9.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2016[Ni][acs]3[ASR]1,113.6647,184.1088,413.454,526.32,1384,3264,3936,2880,13,24,42,60,66,168,192,120,8.2189,17.3448,27.1674,33.726,3.6481,39.4224,29.223,64.6344,784,1344,1008,1512,1,6,6,12,36,72,108,108,1.4641,5.2998,5.5902,7.986,0,-9.18,-3.84,-10.92,0,120,132,282,0,0,0,0,0,24,18,54,0,2.88,2.64,7.92,35.0097,46.308,53.9392,0,165,204,160,0,4,6,6,0,12,18,6,0,1.7956,2.8182,2.1462,0,11.8336,8.772,19.4016,0,64,48,72,0,1,1,2,0,1,3,2,0,0.5329,0.5621,0.803,0,28.09,59.89,51.977683,0,0,0.89,1.24,0,0,2,7,0,0,0,0,0,0,-2,0,0,0,-0.04,0.36,0,0,-6,0.79289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016[Ni][acs]3[ASR]2,113.6647,184.1088,413.454,526.32,1384,3264,3936,2880,13,24,42,60,66,168,192,120,8.2189,17.3448,27.1674,33.726,3.6481,39.4224,29.223,64.6344,784,1344,1008,1512,1,6,6,12,36,72,108,108,1.4641,5.2998,5.5902,7.986,0,-9.18,-3.84,-10.92,0,120,132,282,0,0,0,0,0,24,18,54,0,2.88,2.64,7.92,35.0097,46.308,53.9392,0,165,204,160,0,4,6,6,0,12,18,6,0,1.7956,2.8182,2.1462,0,11.8336,8.772,19.4016,0,64,48,72,0,1,1,2,0,1,3,2,0,0.5329,0.5621,0.803,0,28.09,59.89,51.977683,0,0,0.89,1.24,0,0,2,7,0,0,0,0,0,0,-2,0,0,0,-0.04,0.36,0,0,-6,0.79289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016[Ni][acs]3[ASR]3,113.6647,184.1088,413.454,526.32,1384,3264,3936,2880,13,24,42,60,66,168,192,120,8.2189,17.3448,27.1674,33.726,3.6481,39.4224,29.223,64.6344,784,1344,1008,1512,1,6,6,12,36,72,108,108,1.4641,5.2998,5.5902,7.986,0,-9.18,-3.84,-10.92,0,120,132,282,0,0,0,0,0,24,18,54,0,2.88,2.64,7.92,35.0097,46.308,53.9392,0,165,204,160,0,4,6,6,0,12,18,6,0,1.7956,2.8182,2.1462,0,11.8336,8.772,19.4016,0,64,48,72,0,1,1,2,0,1,3,2,0,0.5329,0.5621,0.803,0,28.09,59.89,51.977683,0,0,0.89,1.24,0,0,2,7,0,0,0,0,0,0,-2,0,0,0,-0.04,0.36,0,0,-6,0.79289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016[Ni][nan]3[ASR]1,156.4617,355.008,878.0196,894.5376,3144,7584,13584,9408,18,48,96,108,156,498,840,642,12.7458,36.6168,68.7096,68.4156,3.6481,32.852,31.6487,50.6341,784,1120,2408,1736,1,5,7,9,25,70,125,125,1.4641,4.4165,7.5867,8.1917,0,-7.65,-3.2,-9.32,0,100,110,190,0,0,0,0,0,11,10,20,0,2.4,2.2,4.12,132.7016,231.744,362.6164,434.243,674,1176,1792,1952,16,32,48,58,80,192,256,250,8.2144,17.3712,25.2624,28.5386,11.8336,8.772,19.58506667,22.99066667,64,48,106.6666667,114.6666667,1,1,2,2.666666667,1,3,4.666666667,7.333333333,0.5329,0.5621,1.104733333,1.4016,28.09,59.89,98.58,147.7058943,0,0.89,1.186666667,2.49,0,2,2.666666667,7,0,0,0,0,0,-2,-2.666666667,-4.666666667,0,-0.04,-0.053333333,0.026666667,0,-6,-8,-13.73570333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Ni][nan]3[ASR]2,156.4617,355.008,878.0196,894.5376,3144,7584,13584,9408,18,48,96,108,156,498,840,642,12.7458,36.6168,68.7096,68.4156,3.6481,32.852,31.6487,50.6341,784,1120,2408,1736,1,5,7,9,25,70,125,125,1.4641,4.4165,7.5867,8.1917,0,-7.65,-3.2,-9.32,0,100,110,190,0,0,0,0,0,11,10,20,0,2.4,2.2,4.12,132.7016,231.744,362.6164,434.243,674,1176,1792,1952,16,32,48,58,80,192,256,250,8.2144,17.3712,25.2624,28.5386,11.8336,8.772,19.58506667,22.99066667,64,48,106.6666667,114.6666667,1,1,2,2.666666667,1,3,4.666666667,7.333333333,0.5329,0.5621,1.104733333,1.4016,28.09,59.89,98.58,147.7058943,0,0.89,1.186666667,2.49,0,2,2.666666667,7,0,0,0,0,0,-2,-2.666666667,-4.666666667,0,-0.04,-0.053333333,0.026666667,0,-6,-8,-13.73570333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Ni][scu]3[ASR]1,228.6347,420.7808,1054.5052,1078.6464,3536,8320,12160,12672,25,56,106,132,162,424,648,712,16.5961,41.756,69.7834,85.7604,3.6481,35.04213333,24.34613333,67.66493333,784,1194.666667,1717.333333,2314.666667,1,5.333333333,5.333333333,11.33333333,28.66666667,57.33333333,104,136,1.4641,4.710933333,5.678933333,10.20433333,0,-8.16,-2.56,-13.78,0,106.6666667,88,234.6666667,0,0,0,0,0,18,9.333333333,35.33333333,0,2.56,1.76,5.28,367.1838,749.037,1192.2908,1520.944,1608,3336,4976,5584,54,114,180,240,294,738,1076,1264,24.2406,57.2418,86.0372,104.4464,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,2,1
2016[Pr][nan]3[ASR]1,196.577,356.9056,1382.3498,1258.955,8018,15928,22562,17264,22,60,144,162,236,800,1190,1068,17.3332,57.2572,102.4198,109.241,1.2769,30.0919,18.5659,39.6065,3481,3658,5605,4838,1,8,7,12,64,160,216,248,3.0976,10.3488,11.2288,15.9104,0,-17.59,-8.52,-21.49,0,410,318,626,0,0,0,0,0,44,29,65,0,8.2,5.94,12.08,177.0894,355.011,557.1304,682.442,768,1560,2272,2360,26,54,84,108,138,342,484,524,11.5274,26.8422,39.4612,45.1084,11.30049,10.29945,19.84554,18.2121,61.2,56.4,108,94.8,1,1.2,2,2.2,1.8,4.2,5.4,7.8,0.5389,0.6776,1.10408,1.18734,38.05,78.648,104.72,143.5260686,0,0.623,0.801,1.672,0,1.4,1.8,4.6,0,0,0,0,0,-1.4,-1.8,-3.2,0,-0.028,-0.036,0.008,0,-4.2,-5.4,-9.441422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2016[Sc][nan]3[ASR]2,184.7174,322.8096,935.2512,1164.9216,1866,5184,7632,9792,20,48,96,144,144,384,576,768,15.7322,43.2744,69.7848,97.236,1.8496,28.0704,20.808,48.8784,441,1008,756,1764,1,6,6,12,36,72,108,180,2.89,7.446,7.854,15.3,0,-12.48,-7.14,-19.62,0,78,90,168,0,0,0,0,0,24,18,42,0,5.82,5.58,11.4,118.7144,219.096,337.3204,385.387,548,1008,1456,1420,16,32,48,58,80,192,256,250,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Sc][nan]3[ASR]4,184.7174,322.8096,935.2512,1164.9216,1866,5184,7632,9792,20,48,96,144,144,384,576,768,15.7322,43.2744,69.7848,97.236,1.8496,28.0704,20.808,48.8784,441,1008,756,1764,1,6,6,12,36,72,108,180,2.89,7.446,7.854,15.3,0,-12.48,-7.14,-19.62,0,78,90,168,0,0,0,0,0,24,18,42,0,5.82,5.58,11.4,118.7144,219.096,337.3204,385.387,548,1008,1456,1420,16,32,48,58,80,192,256,250,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Sc][nan]3[ASR]5,184.7174,322.8096,935.2512,1164.9216,1866,5184,7632,9792,20,48,96,144,144,384,576,768,15.7322,43.2744,69.7848,97.236,1.8496,28.0704,20.808,48.8784,441,1008,756,1764,1,6,6,12,36,72,108,180,2.89,7.446,7.854,15.3,0,-12.48,-7.14,-19.62,0,78,90,168,0,0,0,0,0,24,18,42,0,5.82,5.58,11.4,118.7144,219.096,337.3204,385.387,548,1008,1456,1420,16,32,48,58,80,192,256,250,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Sc][nan]3[ASR]6,184.7174,322.8096,935.2512,1164.9216,1866,5184,7632,9792,20,48,96,144,144,384,576,768,15.7322,43.2744,69.7848,97.236,1.8496,28.0704,20.808,48.8784,441,1008,756,1764,1,6,6,12,36,72,108,180,2.89,7.446,7.854,15.3,0,-12.48,-7.14,-19.62,0,78,90,168,0,0,0,0,0,24,18,42,0,5.82,5.58,11.4,118.7144,219.096,337.3204,385.387,548,1008,1456,1420,16,32,48,58,80,192,256,250,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Sc][nan]3[ASR]7,184.7174,322.8096,935.2512,1164.9216,1866,5184,7632,9792,20,48,96,144,144,384,576,768,15.7322,43.2744,69.7848,97.236,1.8496,28.0704,20.808,48.8784,441,1008,756,1764,1,6,6,12,36,72,108,180,2.89,7.446,7.854,15.3,0,-12.48,-7.14,-19.62,0,78,90,168,0,0,0,0,0,24,18,42,0,5.82,5.58,11.4,118.7144,219.096,337.3204,385.387,548,1008,1456,1420,16,32,48,58,80,192,256,250,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Sc][nan]3[ASR]8,184.7174,322.8096,935.2512,1164.9216,1866,5184,7632,9792,20,48,96,144,144,384,576,768,15.7322,43.2744,69.7848,97.236,1.8496,28.0704,20.808,48.8784,441,1008,756,1764,1,6,6,12,36,72,108,180,2.89,7.446,7.854,15.3,0,-12.48,-7.14,-19.62,0,78,90,168,0,0,0,0,0,24,18,42,0,5.82,5.58,11.4,118.7144,219.096,337.3204,385.387,548,1008,1456,1420,16,32,48,58,80,192,256,250,7.4224,16.2624,23.0448,24.6794,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Sm][kgd]2[ASR]1,209.471,394.7264,1510.0994,1384.352,8608,15280,20036,14840,26,68,172,196,276,936,1344,1248,15.7784,53.5632,92.6354,98.348,1.3689,33.3216,18.4509,37.206,3844,3596,5456,4092,1,9,7,11,81,198,207,252,2.9584,10.062,9.5288,12.8484,0,-17.95,-7.58,-18.93,0,500,346,616,0,0,0,0,0,59,40,71,0,9.63,6.5,11.45,227.5519,465.3366,709.327,815.936,1063,2202,3190,3116,31,66,100,120,166,408,574,596,14.7663,34.2058,49.6276,53.4976,11.8336,2.924,6.868533333,5.848,64,16,37.33333333,32,1,0.333333333,0.666666667,0.666666667,0.333333333,1,1.333333333,2,0.5329,0.187366667,0.365,0.374733333,28.09,19.96333333,29.32666667,39.92666667,0,0.296666667,0.296666667,0.593333333,0,0.666666667,0.666666667,1.333333333,0,0,0,0,0,-0.666666667,-0.666666667,-1.333333333,0,-0.013333333,-0.013333333,-0.026666667,0,-2,-2,-4,3.253333333,5.89984,8.10304,7.458133333,17.33333333,31.6,43.6,31.73333333,0.333333333,0.666666667,0.933333333,0.933333333,1.333333333,3.2,4.8,4.533333333,0.185526667,0.376946667,0.528893333,0.45292,16.47533333,41.03866667,60.17333333,55.78871547,0,0.184,0.368,0.764,0,0.4,0.8,2.8,0,0,0,0,0,-0.266666667,-0.533333333,-0.4,0,-0.008,-0.016,0.077333333,0,-1.32,-2.64,-2.948562667,3,1
2016[Sm][pcu]3[ASR]1,405.1581,776.376,4262.358,3088.512,13716,36960,51280,49632,45,132,424,408,684,2664,3846,3636,32.337,125.3244,268.0192,281.9424,1.3689,46.215,19.7262,70.083,3844,5704,7357.333333,8680,1,12,7.333333333,20,144,384,408,648,2.9584,15.2048,11.89093333,25.8,0,-25.46,-8.28,-36.5,0,652,336,1100,0,0,0,0,0,112,54,186,0,11.8,5.7,19.4,167.3146,316.469,497.9966,592.826,736,1382,2030,2102,23,46,72,86,118,282,372,402,10.1143,22.577,32.4456,36.933,10.76738,11.8269,19.08548,18.8802,58.4,64.8,104,93.6,1,1.4,2,2.4,2.6,5.4,6.8,9.6,0.5449,0.7931,1.11316,1.25048,48.01,97.406,121.46,167.2721372,0,0.356,0.712,1.564,0,0.8,1.6,5.2,0,0,0,0,0,-0.8,-1.6,-2.4,0,-0.016,-0.032,0.096,0,-2.4,-4.8,-6.882844,10.5376,15.482,26.4716,44.526,56.5,69.5,143,117,1,2,3,6,5,12,20,23,0.5477,0.9973,1.6948,2.2425,41.425,130.241307,194.595,269.855594,0,1.355,1.18,5.34,0,5,2.5,28.5,0,0,0,0,0,0,-2,3,0,0.15,-0.05,1.43,0,-5.453555,-8.85,-1.47844,2,1
2016[Sm][pcu]3[ASR]2,209.766,399.1104,1597.3394,1176.639,8816,18304,23464,18776,24,68,168,158,296,1072,1424,1224,18.2406,63.9856,112.0834,109.7042,1.3689,34.1406,16.2864,43.992,3844,4216,5704,5456,1,9,6,13,81,216,225,315,2.9584,11.438,9.5804,16.8732,0,-18.65,-6.9,-22.39,0,490,280,718,0,0,0,0,0,57,29,82,0,8.83,4.75,12.55,190.0944,394.026,635.1604,799.977,840,1776,2704,3108,28,60,96,126,156,396,592,702,12.7132,30.3996,46.576,56.4206,10.64891111,12.16633333,18.91657778,19.42533333,57.77777778,66.66666667,103.1111111,106.6666667,1,1.444444444,2,2.444444444,2.777777778,5.666666667,7.111111111,12.66666667,0.546233333,0.818766667,1.115177778,1.4014,50.22333333,101.5744444,125.18,206.6644444,0,0.296666667,0.692222222,1.384444444,0,0.666666667,1.555555556,3.111111111,0,0,0,0,0,-0.666666667,-1.555555556,-3.111111111,0,-0.013333333,-0.031111111,-0.062222222,0,-2,-4.666666667,-9.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2016[Tb][fcu]3[ASR]1,502.6852,905.408,4255.9296,5614.08,27838,52352,144744,140928,58,160,456,816,664,2560,5376,7104,42.1972,149.0368,338.7216,534.0096,1.21,30.272,25.74,86.9,4225,4160,18720,11960,1,8,12,24,64,192,384,480,2.8224,9.8112,18.9504,29.7024,0,-18.72,-10.2,-52.6,0,456,492,1376,0,0,0,0,0,40,48,132,0,7.6,8.88,22.64,177.0894,355.011,557.1304,682.442,768,1560,2272,2360,26,54,84,108,138,342,484,524,11.5274,26.8422,39.4612,45.1084,11.8336,3.759428571,8.830971429,7.518857143,64,20.57142857,48,41.14285714,1,0.428571429,0.857142857,0.857142857,0.428571429,1.285714286,1.714285714,2.571428571,0.5329,0.2409,0.469285714,0.4818,28.09,25.66714286,37.70571429,51.33428571,0,0.381428571,0.381428571,0.762857143,0,0.857142857,0.857142857,1.714285714,0,0,0,0,0,-0.857142857,-0.857142857,-1.714285714,0,-0.017142857,-0.017142857,-0.034285714,0,-2.571428571,-2.571428571,-5.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016[Tb][fcu]3[ASR]2,502.6852,905.408,4255.9296,5614.08,27838,52352,144744,140928,58,160,456,816,664,2560,5376,7104,42.1972,149.0368,338.7216,534.0096,1.21,30.272,25.74,86.9,4225,4160,18720,11960,1,8,12,24,64,192,384,480,2.8224,9.8112,18.9504,29.7024,0,-18.72,-10.2,-52.6,0,456,492,1376,0,0,0,0,0,40,48,132,0,7.6,8.88,22.64,177.0894,355.011,557.1304,682.442,768,1560,2272,2360,26,54,84,108,138,342,484,524,11.5274,26.8422,39.4612,45.1084,11.8336,5.2632,12.36336,10.5264,64,28.8,67.2,57.6,1,0.6,1.2,1.2,0.6,1.8,2.4,3.6,0.5329,0.33726,0.657,0.67452,28.09,35.934,52.788,71.868,0,0.534,0.534,1.068,0,1.2,1.2,2.4,0,0,0,0,0,-1.2,-1.2,-2.4,0,-0.024,-0.024,-0.048,0,-3.6,-3.6,-7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
